,Market ID,Market Name,Contract ID,Contract Name,Date (ET),Open Share Price,Close Share Price,Low Share Price,High Share Price,Average Trade Price,Trade Volume
3142,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-07,0.34,0.35,0.33,0.35,0.3428,580
3143,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-08,0.35,0.35,0.33,0.35,0.3336,2172
3144,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-09,0.35,0.34,0.33,0.35,0.3405,474
3145,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-10,0.34,0.35,0.33,0.36,0.3509,3864
3146,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-11,0.35,0.35,0.34,0.37,0.3597,3609
3147,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-12,0.35,0.35,0.34,0.37,0.3524,3344
3148,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-13,0.35,0.35,0.34,0.36,0.3545,2253
3149,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-14,0.35,0.37,0.35,0.37,0.3624,2451
3150,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-15,0.37,0.36,0.35,0.38,0.3595,889
3151,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-16,0.36,0.36,0.35,0.36,0.3562,363
3152,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-17,0.36,0.36,0.35,0.36,0.3535,218
3153,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-18,0.36,0.35,0.35,0.36,0.3503,946
3154,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-19,0.35,0.36,0.35,0.36,0.3585,1201
3155,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-20,0.36,0.36,0.35,0.37,0.3656,872
3156,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-21,0.36,0.36,0.35,0.37,0.3555,756
3157,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-22,0.36,0.37,0.35,0.37,0.3575,976
3158,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-23,0.37,0.36,0.35,0.37,0.3653,231
3159,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-24,0.36,0.36,0.36,0.37,0.3658,953
3160,3698,Who will win the 2020 U.S. presidential election?,7943,Donald Trump,2017-11-25,0.36,0.37,0.36,0.37,0.3623,853
